,Unnamed: 0,Sample Name,T_C,type,SiO2,TiO2,Al2O3,FeO,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,CO2,mi_H2O,mi_S,mi_CO2
0,0,LLE_LL4_19b,1163.3831999999998,MI,50.793,2.55,13.523,9.63645,1.88949981104999,0.179,7.432,10.594,2.303,0.429,0.378,0.0402924370665339,0.5,1163.54223422728,402.924370665339
1,1,LLE_LL4_19c,1165.2725999999998,MI,51.117,2.512,13.435,9.7189,1.90566647609999,0.239,7.526,10.17,2.435,0.382,0.276,0.0228172568651132,0.5,1103.18215053763,228.172568651132
2,2,LLE_LL4_33b,1135.002,MI,51.649,2.758,13.747,9.6373,1.88966647769999,0.282,6.02,10.397,2.435,0.496,0.347,0.0246553510952819,0.5,1070.89872170704,246.55351095281895
3,3,LLE_LL4_30,1137.4743,MI,51.918,2.789,13.903,9.64155,1.89049981094999,0.285,6.143,10.726,2.583,0.476,0.348,0.0279235279043317,0.5,1168.86761781922,279.235279043317
4,4,LLD_LL4_14_a,1141.6551,MI,51.702,2.754,13.73,9.9382,1.9486664718,0.281,6.351,9.692,2.822,0.74,0.399,0.0270148512510114,0.5,1358.68652042664,270.14851251011396
5,5,LLD_LL4_14_d,1134.0774,MI,51.062,2.775,13.885,9.9331,1.94766647189999,0.171,5.974,9.74,2.687,0.676,0.386,0.026363569749214,0.5,1446.83615486231,263.63569749214
6,6,LLD_LL4_14_c,1137.7556999999997,MI,51.451,2.822,14.12,9.89824999999999,1.94083313924999,0.174,6.157,9.789,2.869,0.752,0.405,0.0270335573243354,0.5,1412.28235533822,270.33557324335396
7,7,LLD_LL4_14_b,1145.3937,MI,51.078,2.759,13.806,9.89655,1.94049980595,0.17,6.537,9.71,2.929,0.701,0.399,0.0285622119077385,0.5,1448.65622929159,285.622119077385
8,8,LLD_LL4_20,1132.6704,MI,51.204,3.441,13.36,9.73505,1.90883314244999,0.195,5.904,10.712,2.378,0.482,0.279,0.0082489385895003,0.5,402.170695912263,82.4893858950039
9,9,LLD_LL4_31b,1163.5641,MI,51.373,2.452,13.193,9.66449999999999,1.89499981049999,0.194,7.441,10.44,2.409,0.407,0.269,0.0115940378212848,0.5,705.738830319353,115.940378212848
10,10,LLD_LL4_31a,1162.9409999999998,MI,51.29,2.374,13.332,9.63305,1.88883314445,0.182,7.41,10.474,2.441,0.407,0.308,0.0119107797839773,0.5,902.554641925195,119.107797839773
11,11,LLD_LL4_32b,1134.1376999999998,MI,51.361,3.465,13.451,9.6305,1.8883331445,0.196,5.977,10.442,2.616,0.546,0.318,0.0223437911348486,0.5,677.205832590391,223.437911348486
12,12,LLD_LL4_32a,1133.6553,MI,51.387,3.47,13.472,9.66364999999999,1.89483314385,0.197,5.953,10.721,2.454,0.408,0.274,0.0117003230731299,0.5,578.145522946621,117.003230731299
13,13,LLE_LL4_34a,1166.8604999999998,MI,51.305,2.871,13.222,9.6526,1.8926664774,0.114,7.605,9.691,2.581,0.504,0.294,0.0303396260991501,0.5,1193.724397028,303.396260991501
14,14,LLE_LL4_34b,1160.7903,MI,51.211,2.904,13.221,9.724,1.90666647599999,0.247,7.303,9.771,2.561,0.52,0.354,0.0295025725375218,0.5,1171.58268194842,295.025725375218
15,15,LLF_LL8_249a,1168.0866,MI,51.013,2.422,12.885,9.63305,1.88883314445,0.214,7.666,11.233,2.201,0.404,0.246,0.0009848858463188,0.5,206.392585878727,9.848858463188789
16,16,LLf_LL8_249b,1169.3328,MI,51.167,2.376,12.879,9.6679,1.89566647709999,0.188,7.728,11.084,2.176,0.405,0.244,0.0181037896312643,0.5,350.88336156597,181.037896312643
17,17,LLf_LL8_249c,1168.4082,MI,51.446,2.536,13.028,9.63645,1.88949981104999,0.152,7.682,10.541,2.296,0.503,0.219,0.0315280763911989,0.5,577.463076923077,315.280763911989
18,18,LLf_LL8_249d,1168.4283,MI,51.232,2.519,13.068,9.6373,1.88966647769999,0.158,7.683,10.816,2.248,0.434,0.249,0.0234875190977024,0.5,585.215116080735,234.875190977024
19,19,LLf_LL7_110a,1270.3554,MI,49.885,1.967,11.312,9.6322,1.8886664778,0.209,12.754,9.66,2.043,0.319,0.172,0.0029587659552202,0.5,581.663472485768,29.5876595522023
20,20,LLf_LL7_110b,1269.4508999999998,MI,49.722,1.977,11.411,9.63475,1.88916647775,0.2,12.709,9.745,2.034,0.349,0.162,0.0041098493655299,0.5,660.670613649091,41.0984936552993
21,21,LLf_LL7_105a,1277.1291,MI,49.053,2.081,11.475,9.63815,1.88983314434999,0.164,13.091,9.561,2.132,0.422,0.336,0.0029388273073005,0.5,667.421919748229,29.388273073005504
22,22,LLF_LL7_105b,1280.2446,MI,49.673,1.992,11.111,9.6356,1.88933314439999,0.202,13.246,9.478,2.053,0.352,0.212,0.0024279562878464,0.5,497.200018656716,24.2795628784647
23,23,LLf_LL7_107,1258.6371,MI,49.614,2.157,11.618,9.6373,1.88966647769999,0.151,12.171,9.936,2.066,0.406,0.198,0.0121310498953395,0.5,815.253203498927,121.310498953395
24,24,LLf_LL7_272,1132.7909999999997,MI,51.219,3.413,13.048,9.62965,1.88816647785,0.223,5.91,10.232,2.496,0.522,0.294,0.0125571679878632,0.5,891.244383561643,125.571679878632
25,25,LLG_LL8_402a,1236.5672999999997,MI,49.73,2.166,12.019,9.63135,1.88849981114999,0.254,11.073,10.214,2.242,0.34,0.261,0.0029073286256395,0.5,719.929814966431,29.0732862563956
26,26,LLg_LL8_402b,1235.4417,MI,50.001,2.131,11.749,9.6373,1.88966647769999,0.168,11.017,10.317,2.329,0.383,0.197,0.0036420591278646,0.5,736.91836154926,36.4205912786467
27,27,LLG_LL8_447,1238.3763,MI,49.206,2.655,12.17,9.6407,1.8903331443,0.158,11.163,10.173,2.046,0.308,0.415,0.0060529682579655,0.5,758.029349378259,60.5296825796558
28,28,LLg_LL4_17_A,1162.1972999999998,MI,51.015,3.374,13.208,9.63815,1.88983314434999,0.204,7.373,9.119,2.782,0.699,0.433,0.0234464668717243,0.5,1025.26594911567,234.464668717243
29,29,LLg_LL4_17_C1,1162.2576,MI,51.822,2.722,13.341,9.63985,1.89016647764999,0.181,7.376,9.145,2.85,0.447,0.299,0.0207971460954756,0.5,1098.35893273205,207.971460954756
30,30,LLg_LL4_17_C2,1162.2977999999998,MI,51.974,2.796,13.088,9.6373,1.88966647769999,0.142,7.378,9.343,2.751,0.48,0.258,0.0202417597442448,0.5,1065.06811200759,202.417597442448
31,31,LLg_LL4_24a,1135.8260999999998,MI,51.546,3.461,13.233,9.72315,1.90649980934999,0.226,6.061,11.026,2.386,0.512,0.29,0.0252207474339571,0.5,1166.3742461964,252.207474339571
32,32,LLg_LL4_24b,1133.7759,MI,51.659,3.483,13.32,9.64155,1.89049981094999,0.227,5.959,11.063,2.487,0.498,0.305,0.0326230539225884,0.5,1170.55753797279,326.230539225884
33,33,LLG_LL7_270,1205.4926999999998,MI,50.557,2.163,12.827,9.6373,1.88966647769999,0.162,9.527,10.109,2.321,0.438,0.205,0.0032876263276553,0.5,648.468893785808,32.8762632765537
34,34,LLg_LL7_204,1194.9804,MI,50.168,2.372,12.643,9.6322,1.8886664778,0.256,9.004,11.014,2.103,0.459,0.258,0.0095720156362265,0.5,855.558132476343,95.7201563622656
35,35,LLg_LL7_106b,1183.4631,MI,50.838,2.47,12.907,9.6373,1.88966647769999,0.129,8.431,10.193,2.633,0.392,0.281,0.0125821013703684,0.5,1087.29053759467,125.821013703684
36,36,LLg_LL8_3001,1192.2066,MI,49.329,2.218,13.395,9.6322,1.8886664778,0.184,8.866,11.143,2.232,0.491,0.419,0.0157665365472471,0.5,900.086254664603,157.665365472471
