,pressure,fO2,wS_melt,wH2O_melt,wCO2_melt,XS_melt,phi_H2O,XS_fluid,XH2O_fluid,XCO2_fluid,XSO2_fluid,XH2S_fluid,phi_H2S,phi_SO2,wS_fluid,melt_fraction,vapor_fraction,crystal_fraction,DS_bulk,kd_combined_wt,kd_combined_molar,kd_RxnI,kd_RxnIa,kd_RxnII,SO2/ST,S6+/ST,water_fugacity,SO2_fugacity,H2S_fugacity,electron_balance,sulfate_m,sulfide_m,SO2_f,H2S_f,ferric,ferrous,ferric_ratio,FeOT,Fe_cr,ferric_cr,ferrous_cr,FMQ,SCSS,SCAS,fH2,accXS_fluid,accXH2O_fluid,accXCO2_fluid,accXSO2_fluid,accXH2S_fluid,accmelt_fraction,accvapor_fraction,acccrystal_fraction,accCO2_S,d34s_melt,d34s_fluid,accd34s_fluid,alpha,SCSS_S6+,sulfide_frac
0,486.3356747,-8.942746428,2650,4.5,3300,0.003747716,1.081264363,0,0.512110465,0.487889535,0,0,2.714530274,2.870511296,0,1,0,0,0,0,0,0,0,0,0,0.547291207,2692.97095,0,0,0.134470579,0,0,0,0,0.032297798,0.104539419,0.2360308,9.830932999,0,0,0,-10.11274643,606.6469438,3263.724202,7.385307413,0,0,0,0,0,0,0,0,0,1,0,0,0,1340.037909,0
1,485.5254315,-8.940900817,2612.947819,4.484294503,2920.576656,0.003663677,1.080595978,0.060725536,0.509472819,0.429872087,0.024034374,0.036691163,2.708265575,2.864245014,6.305068834,0.999377862,0.000622138,0,23.79271258,23.79271258,16.20334382,6.222736081,0,24.37957455,0.395786931,0.549688634,2672.983933,334.2373327,482.4637705,0.134470579,0.004476576,0.003667264,4.84E-05,7.39E-05,0.032307554,0.104444532,0.236249074,9.830932999,0,0,0,-10.11343036,520.6318971,3259.125218,7.314934666,0.060725536,0.509472819,0.429872087,0.024034374,0.036691163,0.999377862,0.000622138,0,7.078934386,1.011244689,0.20701605,0.20701605,-0.804228639,1156.159796,0
2,484.7151883,-8.941591619,2609.624393,4.48270042,2884.34396,0.003659418,1.079928953,0.059470418,0.510935032,0.429059895,0.02349369,0.035976729,2.702015285,2.857992906,6.1884371,0.999317934,0.000682066,0,23.68373779,23.68373779,16.23244083,6.243241055,0,24.4114276,0.395048333,0.549818208,2674.530127,325.4610352,471.1900395,0.134470579,0.004471668,0.003661326,5.20E-05,7.96E-05,0.032307231,0.104436654,0.236260881,9.830932999,0,0,0,-10.11411429,520.7009399,3258.65835,7.324989372,0.059470418,0.510935032,0.429059895,0.02349369,0.035976729,0.999317934,0.000682066,0,7.214677608,1.018404751,-0.189566949,-0.189566949,-1.207971701,1156.645936,0
3,483.9049451,-8.942324316,2608.170903,4.482065399,2870.586731,0.003657537,1.07926329,0.059485666,0.511642857,0.428314399,0.023474826,0.036010841,2.695779372,2.851754941,6.194065243,0.999294595,0.000705405,0,23.73546653,23.73546653,16.25550041,6.256671826,0,24.43932176,0.39462995,0.549910415,2672.1103,323.9475031,469.7617686,0.134470579,0.004469823,0.003658452,5.38E-05,8.25E-05,0.032307625,0.104433066,0.236269284,9.830932999,0,0,0,-10.11479823,520.7824497,3258.472364,7.324537963,0.059485666,0.511642857,0.428314399,0.023474826,0.036010841,0.999294595,0.000705405,0,7.200295871,1.022269332,-0.388560322,-0.388560322,-1.410829654,1157.063988,0
4,483.0947019,-8.943062956,2606.882267,4.481501721,2858.547006,0.003655869,1.078598989,0.059538177,0.512302712,0.427600138,0.023471739,0.036066439,2.689557805,2.845531086,6.203129627,0.999274036,0.000725964,0,23.7834477,23.7834477,16.27821492,6.269696606,0,24.46708912,0.39423005,0.549997386,2669.432471,322.6568343,468.6152498,0.134470579,0.004468229,0.003655862,5.54E-05,8.51E-05,0.032308044,0.104429834,0.23627721,9.830932999,0,0,0,-10.11548216,520.8648075,3258.307271,7.323422867,0.059538177,0.512302712,0.427600138,0.023471739,0.036066439,0.999274036,0.000725964,0,7.181948769,1.024620999,-0.488576529,-0.488576529,-1.513197528,1157.470626,0
5,482.2844587,-8.943801214,2605.601199,4.480940717,2846.65255,0.003654211,1.077936051,0.059594254,0.512960526,0.426885767,0.023470146,0.036124108,2.683350553,2.839321308,6.212551179,0.999253668,0.000746332,0,23.83134543,23.83134543,16.30098005,6.282724743,0,24.49492738,0.393832367,0.55008477,2666.737148,321.3909207,467.495906,0.134470579,0.004466652,0.003653282,5.69E-05,8.77E-05,0.032308475,0.104426616,0.236285174,9.830932999,0,0,0,-10.11616609,520.9472333,3258.142959,7.322249326,0.059594254,0.512960526,0.426885767,0.023470146,0.036124108,0.999253668,0.000746332,0,7.163203445,1.026225755,-0.539092444,-0.539092444,-1.565318199,1157.878638,0
6,481.4742155,-8.944538766,2604.315993,4.480377262,2834.786777,0.003652547,1.077274477,0.059650707,0.513619907,0.426169561,0.023468705,0.036182002,2.677157583,2.833125577,6.222029964,0.999233301,0.000766699,0,23.87944082,23.87944082,16.32382653,6.295789072,0,24.52285584,0.393435488,0.550172861,2664.043135,320.13119,466.3796218,0.134470579,0.004465072,0.00365069,5.85E-05,9.02E-05,0.032308914,0.10442339,0.236293203,9.830932999,0,0,0,-10.11685003,521.0296641,3257.977928,7.321066135,0.059650707,0.513619907,0.426169561,0.023468705,0.036182002,0.999233301,0.000766699,0,7.144417553,1.027450337,-0.564866031,-0.564866031,-1.592316367,1158.288637,0
7,480.6639723,-8.94527558,2603.025735,4.479810952,2822.941048,0.003650876,1.076614267,0.0597073,0.514281127,0.425451385,0.023467316,0.036239984,2.670978865,2.82694386,6.231543815,0.999212918,0.000787082,0,23.9277562,23.9277562,16.34675705,6.308892121,0,24.55087635,0.393039315,0.550261682,2661.351808,318.8762541,465.2646053,0.134470579,0.00446349,0.003648087,6.01E-05,9.28E-05,0.032309362,0.104420153,0.236301299,9.830932999,0,0,0,-10.11753396,521.112095,3257.812059,7.319876834,0.0597073,0.514281127,0.425451385,0.023467316,0.036239984,0.999212918,0.000787082,0,7.125617589,1.028481554,-0.578273077,-0.578273077,-1.606754631,1158.700681,0
8,479.8537291,-8.946011651,2601.730314,4.479241733,2811.114726,0.003649199,1.075955422,0.059764013,0.514944212,0.424731223,0.023465972,0.036298041,2.664814366,2.820776124,6.241091172,0.999192519,0.000807481,0,23.97629455,23.97629455,16.36977219,6.322034166,0,24.57898945,0.392643844,0.550351242,2658.663256,317.6259953,464.1507165,0.134470579,0.004461903,0.003645471,6.17E-05,9.55E-05,0.032309819,0.104416905,0.236309463,9.830932999,0,0,0,-10.11821789,521.1945254,3257.645336,7.318681605,0.059764013,0.514944212,0.424731223,0.023465972,0.036298041,0.999192519,0.000807481,0,7.106805604,1.029415626,-0.58549869,-0.58549869,-1.614914315,1159.114791,0
9,479.0434859,-8.946746971,2600.429679,4.478669576,2799.307771,0.003647514,1.075297942,0.059820846,0.51560917,0.424009069,0.023464672,0.036356174,2.658664057,2.814622339,6.25067201,0.999172104,0.000827896,0,24.02505739,24.02505739,16.39287241,6.335215316,0,24.60719561,0.392249084,0.550441547,2655.977467,316.3803899,463.0379384,0.134470579,0.004460313,0.003642842,6.33E-05,9.81E-05,0.032310284,0.104413646,0.236317695,9.830932999,0,0,0,-10.11890183,521.2769553,3257.47775,7.317480378,0.059820846,0.51560917,0.424009069,0.023464672,0.036356174,0.999172104,0.000827896,0,7.087981835,1.030302171,-0.589633923,-0.589633923,-1.619936093,1159.530984,0
10,478.2332427,-8.947481533,2599.123784,4.478094454,2787.520185,0.003645822,1.074641829,0.059877798,0.516276007,0.423284918,0.023463417,0.036414381,2.652527906,2.808482473,6.260286417,0.999151671,0.000848329,0,24.07404618,24.07404618,16.41605815,6.348435667,0,24.63549524,0.391855039,0.550532602,2653.294425,315.1394216,461.9262626,0.134470579,0.00445872,0.003640201,6.49E-05,0.000100724,0.032310758,0.104410376,0.236325996,9.830932999,0,0,0,-10.11958576,521.3593844,3257.309294,7.316273063,0.059877798,0.516276007,0.423284918,0.023463417,0.036414381,0.999151671,0.000848329,0,7.069146388,1.031166776,-0.592223534,-0.592223534,-1.62339031,1159.949279,0
11,477.4229995,-8.948215332,2597.812582,4.477516342,2775.751975,0.003644123,1.073987083,0.059934868,0.516944728,0.422558762,0.023462206,0.036472662,2.646405882,2.802356494,6.269934491,0.999131222,0.000868778,0,24.12326234,24.12326234,16.43932985,6.361695313,0,24.66388881,0.391461716,0.550624412,2650.614113,313.9030745,460.8156816,0.134470579,0.004457122,0.003637547,6.65E-05,0.000103378,0.032311241,0.104407094,0.236334367,9.830932999,0,0,0,-10.12026969,521.4418125,3257.139961,7.315059566,0.059934868,0.516944728,0.422558762,0.023462206,0.036472662,0.999131222,0.000868778,0,7.050299356,1.032022636,-0.59403951,-0.59403951,-1.626062146,1160.369692,0
12,476.6127563,-8.94894836,2596.496025,4.476935212,2764.003148,0.003642417,1.073333705,0.059992057,0.51761534,0.421830599,0.023461041,0.036531016,2.640297954,2.79624437,6.279616329,0.999110755,0.000889245,0,24.17270735,24.17270735,16.46268794,6.374994347,0,24.69237676,0.391069123,0.550716984,2647.936511,312.6713327,459.706188,0.134470579,0.004455521,0.00363488,6.81E-05,0.000106045,0.032311733,0.104403802,0.236342807,9.830932999,0,0,0,-10.12095363,521.5242396,3256.969741,7.313839795,0.059992057,0.51761534,0.421830599,0.023461041,0.036531016,0.999110755,0.000889245,0,7.031440835,1.032876562,-0.595467641,-0.595467641,-1.628344203,1160.792242,0
13,475.8025131,-8.949680612,2595.174065,4.476351036,2752.27371,0.003640703,1.072681696,0.060049364,0.518287848,0.421100421,0.023459921,0.036589442,2.63420409,2.79014607,6.289332028,0.999090269,0.000909731,0,24.22238266,24.22238266,16.48613288,6.388332862,0,24.72095953,0.390677266,0.550810323,2645.261604,311.4441805,458.5977742,0.134470579,0.004453916,0.0036322,6.97E-05,0.000108726,0.032312234,0.104400497,0.236351318,9.830932999,0,0,0,-10.12163756,521.6066653,3256.798628,7.312613653,0.060049364,0.518287848,0.421100421,0.023459921,0.036589442,0.999090269,0.000909731,0,7.01257092,1.033732076,-0.596700711,-0.596700711,-1.630432787,1161.216948,0
