,pressure,mean,std,variance
0,486.3356746759735,,,
1,485.52543147951945,,,
2,484.7151882830654,,,
3,483.90494508661135,,,
4,483.0947018901573,,,
5,482.2844586937033,,,
6,481.47421549724925,,,
7,480.6639723007952,,,
8,479.85372910434114,,,
9,479.0434859078871,,,
10,478.23324271143304,,,
11,477.422999514979,,,
12,476.61275631852493,,,
13,475.80251312207093,,,
14,474.9922699256169,,,
15,474.1820267291628,,,
16,473.3717835327088,,,
17,472.5615403362547,,,
18,471.75129713980067,,,
19,470.9410539433466,,,
20,470.13081074689256,,,
21,469.32056755043857,,,
22,468.5103243539845,,,
23,467.70008115753046,,,
24,466.8898379610764,,,
25,466.07959476462236,,,
26,465.2693515681683,,,
27,464.45910837171425,,,
28,463.6488651752602,,,
29,462.83862197880615,,,
30,462.02837878235215,,,
31,461.2181355858981,,,
32,460.40789238944404,,,
33,459.59764919299,,,
34,458.78740599653594,,,
35,457.9771628000819,,,
36,457.16691960362783,,,
37,456.35667640717384,,,
38,455.5464332107198,,,
39,454.73619001426573,,,
40,453.9259468178117,,,
41,453.1157036213576,,,
42,452.3054604249036,,,
43,451.4952172284495,,,
44,450.68497403199547,,,
45,449.8747308355414,,,
46,449.0644876390874,,,
47,448.25424444263336,,,
48,447.4440012461793,,,
49,446.63375804972526,,,
50,445.8235148532712,,,
51,445.01327165681715,,,
52,444.2030284603631,,,
53,443.39278526390905,,,
54,442.58254206745505,,,
55,441.772298871001,,,
56,440.96205567454695,,,
57,440.1518124780929,,,
58,439.34156928163884,,,
59,438.5313260851848,,,
60,437.72108288873073,,,
61,436.9108396922767,,,
62,436.10059649582263,,,
63,435.29035329936863,,,
64,434.4801101029146,,,
65,433.6698669064605,,,
66,432.8596237100065,,,
67,432.0493805135524,,,
68,431.23913731709837,,,
69,430.4288941206443,,,
70,429.6186509241903,,,
71,428.80840772773627,,,
72,427.9981645312822,,,
73,427.18792133482816,,,
74,426.3776781383741,,,
75,425.56743494192006,,,
76,424.757191745466,,,
77,423.94694854901195,,,
78,423.1367053525579,,,
79,422.32646215610384,,,
80,421.51621895964985,,,
81,420.7059757631958,,,
82,419.89573256674174,,,
83,419.0854893702877,,,
84,418.27524617383364,,,
85,417.4650029773796,,,
86,416.6547597809256,,,
87,415.84451658447153,,,
88,415.0342733880175,,,
89,414.22403019156343,,,
90,413.4137869951094,,,
91,412.6035437986553,,,
92,411.79330060220127,,,
93,410.9830574057472,,,
94,410.17281420929316,,,
95,409.3625710128391,,,
96,408.55232781638506,,,
97,407.74208461993106,,,
98,406.931841423477,,,
99,406.12159822702296,,,
100,405.3113550305689,,,
101,404.50111183411485,,,
102,403.6908686376608,,,
103,402.8806254412068,,,
104,402.07038224475275,,,
105,401.2601390482987,,,
106,400.44989585184464,,,
107,399.6396526553906,,,
108,398.82940945893654,,,
109,398.0191662624825,,,
110,397.20892306602843,,,
111,396.3986798695744,,,
112,395.5884366731203,,,
113,394.77819347666633,,,
114,393.9679502802123,,,
115,393.1577070837582,,,
116,392.3474638873042,,,
117,391.5372206908501,,,
118,390.72697749439607,,,
119,389.91673429794207,,,
120,389.106491101488,,,
121,388.29624790503397,,,
122,387.4860047085799,,,
123,386.67576151212586,,,
124,385.8655183156718,,,
125,385.05527511921775,,,
126,384.2450319227637,,,
127,383.43478872630965,,,
128,382.6245455298556,,,
129,381.81430233340154,,,
130,381.00405913694755,,,
131,380.1938159404935,,,
132,379.38357274403944,,,
133,378.5733295475854,,,
134,377.76308635113134,,,
135,376.9528431546773,,,
136,376.1425999582233,,,
137,375.33235676176923,,,
138,374.5221135653152,,,
139,373.7118703688611,,,
140,372.9016271724071,,,
141,372.091383975953,,,
142,371.28114077949897,,,
143,370.4708975830449,,,
144,369.66065438659086,,,
145,368.8504111901368,,,
146,368.0401679936828,,,
147,367.22992479722876,,,
148,366.4196816007747,,,
149,365.60943840432066,,,
150,364.7991952078666,,,
151,363.98895201141255,,,
152,363.17870881495855,,,
153,362.3684656185045,,,
154,361.55822242205045,,,
155,360.7479792255964,,,
156,359.93773602914234,,,
157,359.1274928326883,,,
158,358.31724963623424,,,
159,357.5070064397802,,,
160,356.69676324332613,,,
161,355.8865200468721,,,
162,355.076276850418,,,
163,354.266033653964,,,
164,353.45579045751,,,
165,352.6455472610559,,,
166,351.83530406460187,,,
167,351.0250608681478,,,
168,350.2148176716938,,,
169,349.40457447523977,,,
170,348.5943312787857,,,
171,347.78408808233166,,,
172,346.9738448858776,,,
173,346.16360168942356,,,
174,345.3533584929695,,,
175,344.54311529651545,,,
176,343.7328721000614,,,
177,342.92262890360735,,,
178,342.1123857071533,,,
179,341.30214251069924,,,
180,340.49189931424525,,,
181,339.6816561177912,,,
182,338.87141292133714,,,
183,338.0611697248831,,,
184,337.2509265284291,,,
185,336.44068333197504,,,
186,335.630440135521,,,
187,334.82019693906693,,,
188,334.0099537426129,,,
189,333.1997105461588,,,
190,332.3894673497048,,,
191,331.5792241532507,,,
192,330.76898095679667,,,
193,329.9587377603426,,,
194,329.14849456388856,,,
195,328.3382513674345,,,
196,327.52800817098046,,,
197,326.71776497452646,,,
198,325.9075217780724,,,
199,325.09727858161835,,,
200,324.2870353851643,,,
201,323.4767921887103,,,
202,322.66654899225625,,,
203,321.8563057958022,,,
204,321.04606259934815,,,
205,320.2358194028941,,,
206,319.42557620644004,,,
207,318.615333009986,,,
208,317.80508981353194,,,
209,316.9948466170779,,,
210,316.18460342062383,,,
211,315.3743602241698,,,
212,314.5641170277157,,,
213,313.7538738312617,,,
214,312.9436306348077,,,
215,312.1333874383536,,,
216,311.32314424189957,,,
217,310.5129010454456,,,
218,309.7026578489915,,,
219,308.89241465253747,,,
220,308.0821714560834,,,
221,307.27192825962936,,,
222,306.4616850631753,,,
223,305.65144186672126,,,
224,304.8411986702672,,,
225,304.03095547381315,,,
226,303.2207122773591,,,
227,302.41046908090505,,,
228,301.600225884451,,,
229,300.78998268799694,,,
230,299.97973949154294,,,
231,299.1694962950889,,,
232,298.35925309863484,,,
233,297.5490099021808,,,
234,296.7387667057268,,,
235,295.92852350927274,,,
236,295.1182803128187,,,
237,294.30803711636463,,,
238,293.4977939199106,,,
239,292.6875507234565,,,
240,291.8773075270025,,,
241,291.0670643305484,,,
242,290.25682113409437,,,
243,289.4465779376403,,,
244,288.63633474118626,,,
245,287.8260915447322,,,
246,287.0158483482782,,,
247,286.20560515182416,,,
248,285.3953619553701,,,
249,284.58511875891605,,,
250,283.77487556246206,,,
251,282.964632366008,,,
252,282.15438916955395,,,
253,281.3441459730999,,,
254,280.53390277664585,,,
255,279.7236595801918,,,
256,278.91341638373774,,,
257,278.1031731872837,,,
258,277.29292999082963,,,
259,276.4826867943756,,,
260,275.67244359792153,,,
261,274.8622004014675,,,
262,274.0519572050134,,,
263,273.2417140085594,,,
264,272.4314708121054,,,
265,271.6212276156513,,,
266,270.81098441919727,,,
267,270.0007412227433,,,
268,269.1904980262892,,,
269,268.38025482983517,,,
270,267.5700116333811,,,
271,266.75976843692706,,,
272,265.949525240473,,,
273,265.13928204401896,,,
274,264.3290388475649,,,
275,263.51879565111085,,,
276,262.7085524546568,,,
277,261.89830925820274,,,
278,261.0880660617487,,,
279,260.2778228652947,,,
280,259.46757966884064,,,
281,258.6573364723866,,,
282,257.84709327593254,,,
283,257.03685007947854,,,
284,256.2266068830245,,,
285,255.4163636865704,,,
286,254.60612049011635,,,
287,253.79587729366233,,,
