,pressure,fO2,wS_melt,wH2O_melt,wCO2_melt,XS_melt,phi_H2O,XS_fluid,XH2O_fluid,XCO2_fluid,XSO2_fluid,XH2S_fluid,phi_H2S,phi_SO2,wS_fluid,melt_fraction,vapor_fraction,crystal_fraction,DS_bulk,kd_combined_wt,kd_combined_molar,kd_RxnI,kd_RxnIa,kd_RxnII,SO2/ST,S6+/ST,water_fugacity,SO2_fugacity,H2S_fugacity,electron_balance,sulfate_m,sulfide_m,SO2_f,H2S_f,ferric,ferrous,ferric_ratio,FeOT,Fe_cr,ferric_cr,ferrous_cr,FMQ,SCSS,SCAS,fH2,accXS_fluid,accXH2O_fluid,accXCO2_fluid,accXSO2_fluid,accXH2S_fluid,accmelt_fraction,accvapor_fraction,acccrystal_fraction,accCO2_S,d34s_melt,d34s_fluid,accd34s_fluid,alpha,SCSS_S6+,sulfide_frac
1.53,560.906254,-6.935866473,2493,2.36,5525,0.00379438,1.217480906,0,0.150387331,0.849612669,0,0,3.579358395,3.620168863,0,1,0,0,0,0,0,0,0,0,0,0.985621162,1026.984036,0,0,0.08463736,0,0,0,0,0.030234291,0.083743016,0.265265883,8.188585608,0,0,0,-8.465866473,1057.194861,5150.727181,1.964128638,0,0,0,0,0,0,0,0,0,1,0,0,0,5225.869105,0
1.512783063,560.4392763,-6.953444352,2447.099663,2.357077335,4958.498863,0.003716658,1.217026067,0.089322459,0.150142546,0.76232701,0.086455339,0.00286712,3.574953597,3.615911178,6.837993625,0.99929028,0.00070972,0,27.42877507,27.42877507,23.54072572,1.526682029,0,23.70660269,0.967901467,0.9925213,1024.076078,1752.016268,57.44401947,0.08463736,0.007569234,5.70E-05,0.000146493,4.86E-06,0.030041556,0.083854859,0.263762083,8.188585608,0,0,0,-8.466227415,906.2087131,5149.24501,1.998606964,0.089322459,0.150142546,0.76232701,0.086455339,0.00286712,0.99929028,0.00070972,0,8.534550231,1.02098654,-0.11886225,-0.11886225,-1.13984879,5188.04484,0
1.513129656,559.9722986,-6.953458702,2446.056835,2.357004526,4945.270202,0.003715147,1.216571622,0.087500863,0.150302876,0.762564561,0.084692311,0.002808553,3.570553987,3.611658607,6.714812143,0.999274151,0.000725849,0,27.43988014,27.43988014,23.54288559,1.529026723,0,23.70877588,0.967902572,0.992520642,1023.93294,1712.841656,56.15452015,0.08463736,0.007565881,5.70E-05,0.000147123,4.88E-06,0.030045423,0.083849154,0.263800293,8.188585608,0,0,0,-8.466588358,906.3159849,5149.208086,1.998360627,0.087500863,0.150302876,0.762564561,0.084692311,0.002808553,0.999274151,0.000725849,0,8.71493758,1.032194952,-0.677575058,-0.677575058,-1.70977001,5188.011079,0
1.513363749,559.5053209,-6.953585552,2445.510651,2.356966229,4938.579687,0.003714355,1.216117571,0.087483593,0.150406644,0.762488179,0.084675661,0.002807932,3.566159558,3.607411144,6.713901191,0.999265763,0.000734237,0,27.44785442,27.44785442,23.54781365,1.530811674,0,23.71383056,0.967903334,0.992516036,1023.403282,1709.064526,56.0262467,0.08463736,0.007564093,5.70E-05,0.000148803,4.93E-06,0.0300484,0.08384522,0.263828648,8.188585608,0,0,0,-8.4669493,906.4167658,5149.188664,1.997618633,0.087483593,0.150406644,0.762488179,0.084675661,0.002807932,0.999265763,0.000734237,0,8.715784917,1.037997521,-0.95671969,-0.95671969,-1.994717211,5188.015585,0
1.513608651,559.0383432,-6.953701592,2444.958388,2.356927482,4931.831197,0.003713553,1.215663915,0.087482256,0.150509796,0.762385668,0.084674549,0.002807707,3.561770304,3.603168782,6.714237623,0.999257268,0.000742732,0,27.45536037,27.45536037,23.55247781,1.532591901,0,23.71860967,0.96790541,0.992511867,1022.868696,1705.607484,55.9061139,0.08463736,0.007562289,5.71E-05,0.000150533,4.99E-06,0.030051482,0.08384117,0.263857954,8.188585608,0,0,0,-8.467310243,906.5182793,5149.169013,1.996841907,0.087482256,0.150509796,0.762385668,0.084674549,0.002807707,0.999257268,0.000742732,0,8.71474633,1.041184687,-1.095992234,-1.095992234,-2.137176921,5188.01758,0
1.51385282,558.5713656,-6.953818366,2444.406912,2.356888699,4925.093492,0.003712753,1.215210653,0.087480835,0.150613128,0.762284142,0.084673348,0.002807488,3.557386221,3.598931516,6.714561092,0.999248786,0.000751214,0,27.46288496,27.46288496,23.55717799,1.534375694,0,23.72342582,0.967907398,0.992507663,1022.334614,1702.15452,55.78629674,0.08463736,0.007560487,5.71E-05,0.000152259,5.05E-06,0.030054558,0.083837127,0.263887201,8.188585608,0,0,0,-8.467671186,906.619758,5149.149344,1.996067608,0.087480835,0.150613128,0.762284142,0.084673348,0.002807488,0.999248786,0.000751214,0,8.713727272,1.04304558,-1.165347326,-1.165347326,-2.208392906,5188.019735,0
1.514096928,558.1043879,-6.9539352,2443.855542,2.35684984,4918.35949,0.003711953,1.214757786,0.087479504,0.150716629,0.762182297,0.084672232,0.002807272,3.553007302,3.59469934,6.714892298,0.999240307,0.000759693,0,27.47043573,27.47043573,23.56189691,1.536162906,0,23.72826095,0.967909373,0.992503456,1021.800943,1698.70911,55.66677373,0.08463736,0.007558685,5.71E-05,0.000153986,5.11E-06,0.030057634,0.083833085,0.263916446,8.188585608,0,0,0,-8.468032128,906.7212461,5149.129637,1.995294007,0.087479504,0.150716629,0.762182297,0.084672232,0.002807272,0.999240307,0.000759693,0,8.71269569,1.044235671,-1.199751364,-1.199751364,-2.243987035,5188.021873,0
1.514340934,557.6374102,-6.954052137,2443.304316,2.356810908,4911.629611,0.003711153,1.214305313,0.087478242,0.150820298,0.762080218,0.084671181,0.002807061,3.548633543,3.590472246,6.715229351,0.999231833,0.000768167,0,27.47801266,27.47801266,23.56663569,1.537953559,0,23.73311622,0.967911329,0.992499242,1021.267691,1695.270853,55.54753992,0.08463736,0.007556884,5.71E-05,0.000155712,5.16E-06,0.030060709,0.083829044,0.263945687,8.188585608,0,0,0,-8.468393071,906.8227408,5149.109893,1.994521215,0.087478242,0.150820298,0.762080218,0.084671181,0.002807061,0.999231833,0.000768167,0,8.711654476,1.04508633,-1.216683912,-1.216683912,-2.261770242,5188.024003,0
1.514584841,557.1704325,-6.954169173,2442.75323,2.356771901,4904.903828,0.003710353,1.213853235,0.08747705,0.150924138,0.761977899,0.084670198,0.002806853,3.544264936,3.586250229,6.715572364,0.999223362,0.000776638,0,27.48561577,27.48561577,23.57139427,1.53974766,0,23.73799157,0.967913267,0.992495023,1020.734857,1691.839751,55.42859443,0.08463736,0.007555084,5.71E-05,0.000157437,5.22E-06,0.030063784,0.083825003,0.263974924,8.188585608,0,0,0,-8.468754013,906.9242424,5149.090111,1.993749222,0.08747705,0.150924138,0.761977899,0.084670198,0.002806853,0.999223362,0.000776638,0,8.710603463,1.045765234,-1.224882762,-1.224882762,-2.270647996,5188.026125,0
1.51482865,556.7034548,-6.954286306,2442.202282,2.35673282,4898.182141,0.003709554,1.213401551,0.087475929,0.151028148,0.76187534,0.084669281,0.002806649,3.539901477,3.582033284,6.715921327,0.999214896,0.000785104,0,27.4932451,27.4932451,23.57617267,1.541545218,0,23.74288701,0.967915188,0.992490799,1020.20244,1688.415785,55.3099362,0.08463736,0.007553283,5.71E-05,0.000159162,5.28E-06,0.030066859,0.083820964,0.264004157,8.188585608,0,0,0,-8.469114956,907.0257508,5149.070291,1.992978025,0.087475929,0.151028148,0.76187534,0.084669281,0.002806649,0.999214896,0.000785104,0,8.709542668,1.046357208,-1.228715823,-1.228715823,-2.275073031,5188.028239,0
