,pressure,fO2,wS_melt,wH2O_melt,wCO2_melt,XS_melt,phi_H2O,XS_fluid,XH2O_fluid,XCO2_fluid,XSO2_fluid,XH2S_fluid,phi_H2S,phi_SO2,wS_fluid,melt_fraction,vapor_fraction,crystal_fraction,DS_bulk,kd_combined_wt,kd_combined_molar,kd_RxnI,kd_RxnIa,kd_RxnII,SO2/ST,S6+/ST,water_fugacity,SO2_fugacity,H2S_fugacity,electron_balance,sulfate_m,sulfide_m,SO2_f,H2S_f,ferric,ferrous,ferric_ratio,FeOT,Fe_cr,ferric_cr,ferrous_cr,FMQ,SCSS,SCAS,fH2,accXS_fluid,accXH2O_fluid,accXCO2_fluid,accXSO2_fluid,accXH2S_fluid,accmelt_fraction,accvapor_fraction,acccrystal_fraction,accCO2_S,d34s_melt,d34s_fluid,accd34s_fluid,alpha,SCSS_S6+,sulfide_frac,dFMQ
0,562.3883736,-6.814720893,2490,0.66,5800,0.004060721,1.218927114,0,0.020565788,0.979434212,0,0,3.593373008,3.633716084,0,1,0,0,0,0,0,0,0,0,0,0.99576686,140.9806246,0,0,0.055998278,0,0,0,0,0.023076136,0.055735299,0.292801875,5.662128713,0,0,0,-8.464720893,1058.083732,4144.556203,0.234527015,0,0,0,0,0,0,0,0,0,1,0,0,0,4162.175276,0,1.65
1,561.9201598,-6.727916249,2345.670139,0.659827637,4807.461048,0.003829835,1.218469816,0.177274633,0.020570229,0.812744727,0.177274633,0,3.588940013,3.62943082,11.97073974,0.998692937,0.001307063,0,48.07525999,48.07525999,43.65595424,0.228490554,0,43.6944579,1,0.999114165,140.8408133,3615.428116,0,0.055998278,0.007299326,6.47E-06,0.000487962,0,0.023692975,0.055015448,0.3010221,5.662128713,0,0,0,-8.465082791,915.1535132,4144.451148,0.212011612,0.177274633,0.020570229,0.812744727,0.177274633,0,0.998692937,0.001307063,0,4.584664559,1.064754216,-0.052395048,-0.052395048,-1.117149264,4148.125702,0,1.737166542
2,561.451946,-6.726398913,2342.494055,0.659825259,4799.054353,0.003824708,1.218012914,0.166913629,0.020585234,0.812409443,0.166567043,0.000346587,3.58451225,3.625150716,11.4367993,0.99868146,0.00131854,0,48.75706565,48.75706565,43.58245488,0.228768483,0,43.62062011,0.997923558,0.999120452,140.7733021,3390.218843,6.975162616,0.055998278,0.007289405,6.42E-06,0.000469314,9.77E-07,0.02370742,0.055000099,0.301209084,5.662128713,0,0,0,-8.465444689,915.3943418,4144.449699,0.211540123,0.166913629,0.020585234,0.812409443,0.166567043,0.000346587,0.99868146,0.00131854,0,4.867244502,1.099425049,-0.578936949,-0.578936949,-1.678361998,4148.098152,0,1.739045776
3,560.9837321,-6.726929747,2342.137954,0.659823904,4796.032065,0.003824143,1.217556409,0.166801037,0.020599785,0.812896937,0.166454205,0.000346832,3.580089715,3.620875767,11.42554352,0.998678575,0.001321425,0,48.77512279,48.77512279,43.61144042,0.229041665,0,43.64972932,0.997920685,0.999118188,140.7025777,3381.105029,6.965676043,0.055998278,0.007288259,6.43E-06,0.000469877,9.79E-07,0.023706758,0.055000534,0.301201543,5.662128713,0,0,0,-8.465806587,915.4689361,4144.448873,0.211563102,0.166801037,0.020599785,0.812896937,0.166454205,0.000346832,0.998678575,0.001321425,0,4.873452547,1.116327993,-0.84263788,-0.84263788,-1.958965873,4148.106724,0,1.73887684
4,560.5155183,-6.726564141,2341.24216,0.659822024,4789.549267,0.003822716,1.2171003,0.166715917,0.020614327,0.812796935,0.166369854,0.000346063,3.575672401,3.616605967,11.42204656,0.998669852,0.001330148,0,48.76760799,48.76760799,43.59562772,0.229314998,0,43.63383783,0.997924234,0.999119674,140.6316818,3372.589404,6.93586753,0.055998278,0.007285419,6.42E-06,0.000472836,9.84E-07,0.02371266,0.054993944,0.301279165,5.662128713,0,0,0,-8.466168485,915.6163565,4144.447727,0.211367514,0.166715917,0.020614327,0.812796935,0.166369854,0.000346063,0.998669852,0.001330148,0,4.875340927,1.125414649,-0.9738527,-0.9738527,-2.099267348,4148.099405,0,1.739604344
5,560.0473045,-6.726516623,2340.543908,0.659820317,4784.28996,0.003821604,1.216644588,0.166654172,0.020628905,0.812904262,0.166308448,0.000345724,3.571260302,3.612341309,11.41756143,0.998663196,0.001336804,0,48.76711013,48.76711013,43.5957517,0.229589012,0,43.63395535,0.997925503,0.99911982,140.5609288,3364.556305,6.914731013,0.055998278,0.007283199,6.42E-06,0.000475016,9.87E-07,0.023716233,0.054989846,0.301326576,5.662128713,0,0,0,-8.466530383,915.7379687,4144.446687,0.211249616,0.166654172,0.020628905,0.812904262,0.166308448,0.000345724,0.998663196,0.001336804,0,4.877791251,1.130213883,-1.039202996,-1.039202996,-2.169416878,4148.097759,0,1.74001376
6,559.5790907,-6.726356466,2339.776437,0.659818536,4778.597682,0.003820382,1.216189272,0.166584779,0.020643503,0.812937407,0.166239544,0.000345234,3.566853413,3.608081787,11.41346685,0.998655807,0.001344193,0,48.76416465,48.76416465,43.59027322,0.229863515,0,43.62844488,0.997927575,0.99912044,140.4902037,3356.388243,6.890660745,0.055998278,0.007280761,6.41E-06,0.000477471,9.92E-07,0.023720632,0.054984864,0.301384698,5.662128713,0,0,0,-8.466892281,915.8687644,4144.445601,0.211104395,0.166584779,0.020643503,0.812937407,0.166239544,0.000345234,0.998655807,0.001344193,0,4.880022136,1.132998574,-1.071492129,-1.071492129,-2.204490703,4148.094099,0,1.740535816
7,559.1108768,-6.72623733,2339.034471,0.659816769,4773.061258,0.003819201,1.215734353,0.166518525,0.020658127,0.812996561,0.166173724,0.000344801,3.562451728,3.603827395,11.40925918,0.998648684,0.001351316,0,48.76217658,48.76217658,43.58687547,0.230138577,0,43.62502449,0.997929352,0.999120887,140.4195476,3348.299326,6.867770551,0.055998278,0.007278404,6.40E-06,0.000479825,9.96E-07,0.023724732,0.054980204,0.30143893,5.662128713,0,0,0,-8.467254179,915.9962554,4144.444524,0.210969286,0.166518525,0.020658127,0.812996561,0.166173724,0.000344801,0.998648684,0.001351316,0,4.882319014,1.134718641,-1.087307938,-1.087307938,-2.22202658,4148.091165,0,1.741016849
8,558.642663,-6.726104342,2338.284305,0.659814984,4767.47115,0.003818006,1.215279831,0.166451525,0.020672774,0.813046025,0.166107174,0.000344351,3.558055242,3.599578126,11.40511544,0.998641469,0.001358531,0,48.75992885,48.75992885,43.58281492,0.230414175,0,43.62093818,0.997931226,0.999121392,140.3489457,3340.212472,6.844594089,0.055998278,0.007276021,6.40E-06,0.000482213,1.00E-06,0.023728933,0.054975434,0.301494487,5.662128713,0,0,0,-8.467616077,916.124903,4144.443436,0.21083093,0.166451525,0.020672774,0.813046025,0.166107174,0.000344351,0.998641469,0.001358531,0,4.884581418,1.135922245,-1.094871273,-1.094871273,-2.230793518,4148.087979,0,1.741511735
9,558.1744492,-6.725977118,2337.537939,0.659813192,4761.90203,0.003816818,1.214825705,0.166385176,0.020687447,0.813098535,0.166041268,0.000343909,3.553663949,3.595333975,11.40097318,0.998634291,0.001365709,0,48.75785701,48.75785701,43.57907226,0.23069032,0,43.61717111,0.997933056,0.999121873,140.2784032,3332.155279,6.821653539,0.055998278,0.007273649,6.39E-06,0.000484585,1.00E-06,0.023733092,0.054970709,0.301549504,5.662128713,0,0,0,-8.467977976,916.2531118,4144.442345,0.210694099,0.166385176,0.020687447,0.813098535,0.166041268,0.000343909,0.998634291,0.001365709,0,4.886844805,1.136859251,-1.098316725,-1.098316725,-2.235175977,4148.084891,0,1.742000858
