,SiO2,TiO2,Al2O3,FeO,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,CO2,H2O,T_C,type,S,CO2_ppm,SaturationP_bars_VESIcal,XH2O_fl_VESIcal,XCO2_fl_VESIcal,Model,Warnings
LLE_LL4_19b,50.793,2.55,13.523,9.63645,1.88949981104999,0.179,7.432,10.594,2.303,0.429,0.378,0.0402924370665339,0.5,1163.3831999999998,MI,1163.54223422728,402.924370665339,972.307482365882,0.0356549232218791,0.9643450767781209,IaconoMarziano,
LLE_LL4_19c,51.117,2.512,13.435,9.7189,1.90566647609999,0.239,7.526,10.17,2.435,0.382,0.276,0.0228172568651132,0.5,1165.2725999999998,MI,1103.18215053763,228.172568651132,578.460985989261,0.05961837911691083,0.9403816208830892,IaconoMarziano,
LLE_LL4_33b,51.649,2.758,13.747,9.6373,1.88966647769999,0.282,6.02,10.397,2.435,0.496,0.347,0.0246553510952819,0.5,1135.002,MI,1070.89872170704,246.55351095281898,657.796453850176,0.05852925681528721,0.9414707431847128,IaconoMarziano,
LLE_LL4_30,51.918,2.789,13.903,9.64155,1.89049981094999,0.285,6.143,10.726,2.583,0.476,0.348,0.0279235279043317,0.5,1137.4742999999999,MI,1168.86761781922,279.235279043317,707.928247800962,0.053573544342541204,0.9464264556574588,IaconoMarziano,
LLD_LL4_14_a,51.702,2.754,13.73,9.9382,1.9486664718,0.281,6.351,9.692,2.822,0.74,0.399,0.0270148512510114,0.5,1141.6551,MI,1358.68652042664,270.14851251011396,627.680439696103,0.05986818206314,0.94013181793686,IaconoMarziano,
LLD_LL4_14_d,51.062,2.775,13.885,9.9331,1.94766647189999,0.171,5.974,9.74,2.687,0.676,0.386,0.026363569749214,0.5,1134.0774000000001,MI,1446.83615486231,263.63569749214,634.4237955733714,0.060773496995009606,0.9392265030049904,IaconoMarziano,
LLD_LL4_14_c,51.451,2.822,14.12,9.89824999999999,1.94083313924999,0.174,6.157,9.789,2.869,0.752,0.405,0.0270335573243354,0.5,1137.7556999999997,MI,1412.28235533822,270.33557324335396,617.2438524696186,0.062124474174413954,0.9378755258255861,IaconoMarziano,
LLD_LL4_14_b,51.078,2.759,13.806,9.89655,1.94049980595,0.17,6.537,9.71,2.929,0.701,0.399,0.0285622119077385,0.5,1145.3937,MI,1448.65622929159,285.622119077385,631.2836326189425,0.05833837628011773,0.9416616237198823,IaconoMarziano,
LLD_LL4_20,51.204,3.441,13.36,9.73505,1.90883314244999,0.195,5.904,10.712,2.378,0.482,0.279,0.00824893858950039,0.5,1132.6704,MI,402.170695912263,82.4893858950039,257.0699546065759,0.1445044196048305,0.8554955803951695,IaconoMarziano,
LLD_LL4_31b,51.373,2.452,13.193,9.66449999999999,1.89499981049999,0.194,7.441,10.44,2.409,0.407,0.269,0.0115940378212848,0.5,1163.5641,MI,705.738830319353,115.940378212848,321.0733242460778,0.10541299742003397,0.894587002579966,IaconoMarziano,
