,Na2O,Al2O3,P2O5,CaO,K2O,TiO2,SiO2,MgO,FeO,MnO,H2O,CO2,number,T_C,type,"Specific ID (LL8 - lab code for F8 Mid July, LL7- lab code for Aug 1st, LL4- lab code for May 30th)",Total CO2 (PEC-corrected) ppm,S_MI_PEC EPMA,Fo content (molar),MgO (wt%) Ol,SiO2 (wt%) Ol,FeO (wt%) Ol,Al2O3 (wt%) Ol,CaO (wt%) Ol,MnO (wt%) Ol,NiO (wt%) Ol,SaturationP_bars_VESIcal,XH2O_fl_VESIcal,XCO2_fl_VESIcal,Model,Warnings
LL12_G1a_r2,1.05,12.39,0.57,8.42,1.04,4.66,51.73,4.27,14.36,0.23,0.1,0.000421,118,1099.8269999999998,MG,Fissure 12 (Early May),4.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.671110239712377,0.11378495249516808,0.8862150475048319,IaconoMarziano,"pressure (17.7 bars) is outside the broad range suggested by Iacono-Marziano (100.0-10000.0 bars, although most calibration experiments were conducted at <5000 bars).  pressure (17.7 bars) is outside the broad range suggested by Iacono-Marziano (100.0-10000.0 bars, although most calibration experiments were conducted at <5000 bars).  "
LL12_G2b_r2,2.28,12.43,0.6,7.4,1.31,4.61,51.81,4.43,13.76,0.2,0.07,0.000638,119,1103.0430000000001,MG,Fissure 12 (Early May),6.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.410876697893254,0.05541795800588358,0.9445820419941164,IaconoMarziano,"pressure (18.4 bars) is outside the broad range suggested by Iacono-Marziano (100.0-10000.0 bars, although most calibration experiments were conducted at <5000 bars).  pressure (18.4 bars) is outside the broad range suggested by Iacono-Marziano (100.0-10000.0 bars, although most calibration experiments were conducted at <5000 bars).  "
LL4_10,2.2,11.66,0.27,9.99,0.5,2.51,48.75,12.17,11.33,0.21,0.5,0.0572,36,1258.6169999999997,MI,Fissure 8 (May 30th),572.0,684.9699137,0.88,46.66,40.08,11.53,0.04,0.23,0.15,0.37,1020.8186721547524,0.023273224361032522,0.9767267756389675,IaconoMarziano,
LL4_12,2.22,11.32,0.21,9.5,0.31,1.9,49.27,13.41,11.33,0.13,0.5,0.0759,35,1283.5409999999997,MI,Fissure 8 (May 30th),759.0,609.9513879,0.89,47.17,40.26,10.71,0.05,0.25,0.15,0.39,1295.7791634597065,0.01735513121084888,0.9826448687891511,IaconoMarziano,
LL4_13,2.65,13.54,0.16,10.32,0.5,2.97,50.1,7.75,11.34,0.22,0.5,0.1405,53,1169.775,MI,Fissure 8 (May 30th),1405.0,975.9054348,0.82,42.57,39.26,17.08,0.03,0.24,0.23,0.25,2515.1221653409348,0.014023122104435183,0.9859768778955648,IaconoMarziano,
LL4_14_a,2.77,13.21,0.39,9.5,0.73,3.4,51.01,6.42,11.91,0.2,0.5,0.0266,58,1143.042,MI,Fissure 8 (May 30th),266.0,0.0,0.77,39.65,39.14,20.74,0.03,0.24,0.31,0.19,615.8423889384391,0.059404436605154286,0.9405955633948457,IaconoMarziano,
LL4_14_b,2.87,13.09,0.39,9.53,0.69,3.49,50.97,6.42,11.86,0.21,0.5,0.0281,61,1143.042,MI,Fissure 8 (May 30th),281.0,0.0,0.77,40.13,39.67,20.79,0.02,0.23,0.3,0.2,638.995291893552,0.05687649318089038,0.9431235068191096,IaconoMarziano,
LL4_14_c,2.81,13.11,0.4,9.6,0.74,3.47,50.91,6.43,11.88,0.17,0.5,0.0266,60,1143.243,MI,Fissure 8 (May 30th),266.0,0.0,0.77,40.13,39.67,20.79,0.02,0.23,0.3,0.2,609.257169471331,0.0593813364890984,0.9406186635109016,IaconoMarziano,
LL4_14_d,2.62,13.0,0.38,9.51,0.66,3.4,51.21,6.54,12.0,0.22,0.5,0.0258,59,1145.4539999999997,MI,Fissure 8 (May 30th),258.0,0.0,0.77,39.65,39.14,20.74,0.03,0.24,0.31,0.19,628.2528705984068,0.05773256362069335,0.9422674363793067,IaconoMarziano,
LL4_17_A,2.78,13.21,0.43,9.12,0.7,3.37,51.02,7.37,11.34,0.2,0.5,0.0234,85,1162.1369999999997,MI,Fissure 8 (May 30th),234.0,0.0,0.81,41.28,39.07,17.68,0.03,0.21,0.25,0.25,537.1544773679968,0.06647223745588197,0.9335277625441181,IaconoMarziano,
