number,type,Sample Name,"Specific ID (LL8 - lab code for F8 Mid July, LL7- lab code for Aug 1st, LL4- lab code for May 30th)","Na2O (wt%, PEC-corr) MI","Al2O3 (wt%, PEC-corr) MI","P2O5 (wt%, PEC-corr) MI","CaO (wt%, PEC-corr) MI","K2O (wt%, PEC-corr) MI","TiO2 (wt%, PEC-corr) MI","SiO2 (wt%, PEC-corr) MI","MgO (wt%, PEC-corr) MI","FeO (wt%, PEC-corr) MI","MnO (wt%, PEC-corr) MI","H2O (wt%) (wt%, PEC-corr) MI",Total CO2 (PEC-corrected) ppm,Fo content (molar),MgO (wt%) Ol,SiO2 (wt%) Ol,FeO (wt%) Ol,Al2O3 (wt%) Ol,CaO (wt%) Ol,MnO (wt%) Ol,NiO (wt%) Ol
1,MI,LL8_613b,Fissure 8 (Mid July),2.47,12.9,0.23,10.7,0.35,2.39,49.77,9.33,11.34,0.14,0.21,213,0.84,44.8,39.91,14.8,0.04,0.25,0.19,0.33
2,MI,LL8_615,Fissure 8 (Mid July),2.13,10.93,0.23,9.44,0.33,1.82,49.68,13.61,11.34,0.15,0.18,305,0.89,48.18,40.59,10.88,0.05,0.24,0.14,0.4
3,MI,LL8_617_a,Fissure 8 (Mid July),2.09,11.32,0.29,9.76,0.32,2.01,49.03,13.35,11.34,0.14,0.18,360,0.89,48.07,40.66,10.96,0.05,0.24,0.14,0.4
4,MI,LL8_623_b,Fissure 8 (Mid July),2.1,11.9,0.3,10.02,0.45,2.45,48.42,12.51,11.33,0.18,0.17,791,0.88,47.52,40.45,11.41,0.05,0.24,0.16,0.36
5,MI,LL8_626,Fissure 8 (Mid July),2.18,11.61,0.21,9.79,0.33,2.03,49.22,12.78,11.33,0.17,0.18,493,0.88,47.43,40.65,11.3,0.04,0.23,0.15,0.4
6,MI,LL8_404_a,Fissure 8 (Mid July),2.18,11.53,0.17,9.88,0.41,2.1,48.9,12.99,11.33,0.14,0.18,488,0.89,47.35,40.28,10.96,0.06,0.26,0.14,0.4
7,MI,LL8_404_b,Fissure 8 (Mid July),2.08,11.46,0.21,9.8,0.37,2.13,49.06,13.02,11.34,0.2,0.18,504,0.88,47.2,40.07,11.04,0.05,0.25,0.15,0.41
8,MI,LL8_610,Fissure 8 (Mid July),1.99,10.98,0.19,9.58,0.34,2.02,49.28,13.73,11.34,0.2,0.17,887,0.89,48.01,40.37,10.69,0.05,0.23,0.15,0.4
9,MI,LL8_612_a,Fissure 8 (Mid July),2.4,13.09,0.26,10.98,0.35,2.19,51.03,7.76,11.34,0.21,0.22,645,0.81,42.77,39.19,17.66,0.04,0.27,0.22,0.23
10,MI,LL8_613_a,Fissure 8 (Mid July),2.2,11.82,0.19,10.35,0.42,2.48,49.3,11.38,11.33,0.15,0.19,38,0.87,46.94,40.32,12.51,0.03,0.25,0.16,0.39
11,MI,LL8_617_b,Fissure 8 (Mid July),2.04,11.41,0.24,9.65,0.33,2.04,49.09,13.36,11.33,0.17,0.18,585,0.89,48.28,40.64,11.03,0.05,0.23,0.15,0.4
12,MI,LL8_624,Fissure 8 (Mid July),2.27,11.59,0.26,10.45,0.35,2.23,49.42,11.58,11.33,0.17,0.19,418,0.87,46.48,39.9,12.19,0.05,0.23,0.15,0.37
13,MI,LL8_630,Fissure 8 (Mid July),2.18,10.87,0.28,9.48,0.34,1.87,49.79,13.3,11.34,0.2,0.18,762,0.89,47.85,40.17,11.08,0.05,0.23,0.15,0.4
14,MI,LL8_631a,Fissure 8 (Mid July),2.09,12.09,0.3,10.97,0.47,2.56,49.38,10.26,11.33,0.19,0.19,285,0.86,45.63,40.08,13.62,0.03,0.26,0.17,0.32
15,MI,LL8_616_b,Fissure 8 (Mid July),2.07,11.39,0.2,9.33,0.37,2.04,49.93,12.85,11.34,0.14,0.19,653,0.88,47.09,40.32,11.38,0.05,0.22,0.15,0.39
16,MI,LL8_202_c,Fissure 8 (Mid July),1.93,11.32,0.18,9.84,0.34,2.03,49.02,13.47,11.33,0.18,0.18,292,0.89,47.83,40.72,10.82,0.05,0.23,0.15,0.39
17,MI,LL8_243_b,Fissure 8 (Mid July),2.14,11.86,0.19,9.56,0.31,1.92,48.99,13.18,11.33,0.17,0.17,344,0.89,47.39,39.85,10.96,0.05,0.22,0.15,0.39
18,MI,LL8_156,Fissure 8 (Mid July),2.18,11.18,0.2,9.26,0.28,1.8,49.76,13.48,11.34,0.16,0.19,569,0.89,47.5,40.43,10.88,0.05,0.22,0.13,0.38
19,MI,LL8_406,Fissure 8 (Mid July),2.31,12.28,0.28,10.91,0.47,2.59,48.56,10.68,11.33,0.2,0.2,324,0.86,45.79,40.02,12.8,0.04,0.26,0.18,0.33
20,MI,LL8_302,Fissure 8 (Mid July),2.04,10.61,0.25,9.86,0.41,2.24,49.45,13.29,11.34,0.17,0.17,716,0.89,48.31,41.11,11.07,0.05,0.24,0.14,0.39
21,MI,LL8_611,Fissure 8 (Mid July),2.13,11.35,0.22,9.76,0.37,2.05,49.48,12.82,11.33,0.15,0.18,529,0.88,47.34,40.1,11.3,0.05,0.24,0.14,0.39
22,MI,LL8_616_a,Fissure 8 (Mid July),2.09,11.72,0.2,9.63,0.34,2.07,49.41,12.73,11.34,0.13,0.18,481,0.88,46.74,39.77,11.29,0.05,0.22,0.15,0.37
