,pressure,mean,std,variance
0,320.07951600807826,,,
1,319.76011709315526,,,
2,319.44071817823226,,,
3,319.12131926330926,,,
4,318.80192034838626,,,
5,318.48252143346326,,,
6,318.16312251854026,,,
7,317.84372360361726,,,
8,317.52432468869426,,,
9,317.20492577377127,,,
10,316.88552685884827,,,
11,316.56612794392527,,,
12,316.24672902900227,,,
13,315.92733011407927,,,
14,315.60793119915627,,,
15,315.2885322842332,,,
16,314.9691333693102,,,
17,314.6497344543872,,,
18,314.3303355394642,,,
19,314.0109366245412,,,
20,313.6915377096182,,,
21,313.3721387946952,,,
22,313.0527398797722,,,
23,312.7333409648492,,,
24,312.4139420499262,,,
25,312.0945431350032,,,
26,311.7751442200802,,,
27,311.4557453051572,,,
28,311.1363463902342,,,
29,310.8169474753112,,,
30,310.4975485603882,,,
31,310.1781496454652,,,
32,309.8587507305422,,,
33,309.5393518156192,,,
34,309.2199529006962,,,
35,308.90055398577323,,,
36,308.58115507085023,,,
37,308.26175615592723,,,
38,307.94235724100423,,,
39,307.62295832608123,,,
40,307.30355941115823,,,
41,306.98416049623523,,,
42,306.6647615813122,,,
43,306.3453626663892,,,
44,306.0259637514662,,,
45,305.7065648365432,,,
46,305.3871659216202,,,
47,305.0677670066972,,,
48,304.7483680917742,,,
49,304.4289691768512,,,
50,304.1095702619282,,,
51,303.7901713470052,,,
52,303.4707724320822,,,
53,303.1513735171592,,,
54,302.8319746022362,,,
55,302.5125756873132,,,
56,302.1931767723902,,,
57,301.8737778574672,,,
58,301.5543789425442,,,
59,301.2349800276212,,,
60,300.9155811126982,,,
61,300.5961821977752,,,
62,300.2767832828522,,,
63,299.9573843679292,,,
64,299.6379854530062,,,
65,299.3185865380832,,,
66,298.9991876231602,,,
67,298.6797887082372,,,
68,298.3603897933142,,,
69,298.0409908783912,,,
70,297.7215919634682,,,
71,297.40219304854514,,,
72,297.08279413362214,,,
73,296.76339521869915,,,
74,296.44399630377615,,,
75,296.12459738885315,,,
76,295.80519847393015,,,
77,295.48579955900715,,,
78,295.16640064408415,,,
79,294.84700172916115,,,
80,294.52760281423815,,,
81,294.20820389931515,,,
82,293.88880498439215,,,
83,293.56940606946915,,,
84,293.25000715454615,,,
85,292.93060823962315,,,
86,292.61120932470016,,,
87,292.29181040977716,,,
88,291.97241149485416,,,
89,291.65301257993116,,,
90,291.33361366500816,,,
91,291.01421475008516,,,
92,290.69481583516216,,,
93,290.37541692023916,,,
94,290.05601800531616,,,
95,289.73661909039316,,,
96,289.4172201754701,,,
97,289.0978212605471,,,
98,288.7784223456241,,,
99,288.4590234307011,,,
100,288.1396245157781,,,
101,287.8202256008551,,,
102,287.5008266859321,,,
103,287.1814277710091,,,
104,286.8620288560861,,,
105,286.5426299411631,,,
106,286.2232310262401,,,
107,285.9038321113171,,,
108,285.5844331963941,,,
109,285.2650342814711,,,
110,284.9456353665481,,,
111,284.6262364516251,,,
112,284.3068375367021,,,
113,283.9874386217791,,,
114,283.6680397068561,,,
115,283.3486407919331,,,
116,283.0292418770101,,,
117,282.7098429620871,,,
118,282.3904440471641,,,
119,282.0710451322411,,,
120,281.7516462173181,,,
121,281.4322473023951,,,
122,281.1128483874721,,,
